layer_idx,input_norm,attn_agg_norm,post_attn_norm,mlp_agg_norm,output_norm
0,0.9782106690108776,0.9782092310488224,16.026260256767273,0.9782092310488224,68.21725654602051
1,68.21725654602051,1.0011071525514126,73.14280700683594,0.9878992289304733,122.4253602027893
2,122.4253602027893,1.4647342190146446,127.09807825088501,1.3630965277552605,175.0119867324829
3,175.0119867324829,1.1458386331796646,98.55344676971436,87.79062080383301,105.20193195343018
4,105.20193195343018,75.08428716659546,290.4492835998535,134.1193151473999,295.7405071258545
5,295.7405071258545,172.79989051818848,356.0042667388916,91.46748876571655,361.249547958374
6,361.249547958374,242.1626319885254,554.7726058959961,172.1915626525879,558.668514251709
7,558.668514251709,526.6991348266602,1262.9653244018555,174.23062324523926,1267.855812072754
8,1267.855812072754,674.2888374328613,1734.2148742675781,301.13737869262695,1778.4485397338867
9,1778.4485397338867,388.488712310791,13.865667223930359,16.55501139163971,16.478610515594482
10,16.478610515594482,26.508671641349792,21.522432923316956,26.090440273284912,28.4778573513031
11,28.4778573513031,26.469930171966553,36.609867811203,29.448258638381958,53.36919713020325
